
---------- Begin Simulation Statistics ----------
simSeconds                                   0.063931                       # Number of seconds simulated (Second)
simTicks                                  63931191000                       # Number of ticks simulated (Tick)
finalTick                                 63931191000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   4023.07                       # Real time elapsed on the host (Second)
hostTickRate                                 15891154                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1633520                       # Number of bytes of host memory used (Byte)
simInsts                                    348309988                       # Number of instructions simulated (Count)
simOps                                      518878492                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    86578                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     128976                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       107632327                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      163009391                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     885                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     155826742                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   739                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            44364797                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         29629645                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                117                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          106564256                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.462280                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.260649                       # Number of insts issued each cycle (Count)
system.mem_ctrls0.dram.bytesPerActivate::0-127        12909     38.25%     38.25% # Bytes accessed per row activation (Byte)
system.mem_ctrls0.dram.bytesPerActivate::128-255        10922     32.36%     70.61% # Bytes accessed per row activation (Byte)
system.mem_ctrls0.dram.bytesPerActivate::256-383         3740     11.08%     81.69% # Bytes accessed per row activation (Byte)
system.mem_ctrls0.dram.bytesPerActivate::384-511         2741      8.12%     89.81% # Bytes accessed per row activation (Byte)
system.mem_ctrls0.dram.bytesPerActivate::512-639         1817      5.38%     95.19% # Bytes accessed per row activation (Byte)
system.mem_ctrls0.dram.bytesPerActivate::640-767          643      1.91%     97.10% # Bytes accessed per row activation (Byte)
system.mem_ctrls0.dram.bytesPerActivate::768-895          359      1.06%     98.16% # Bytes accessed per row activation (Byte)
system.mem_ctrls0.dram.bytesPerActivate::896-1023          269      0.80%     98.96% # Bytes accessed per row activation (Byte)
system.mem_ctrls0.dram.bytesPerActivate::1024-1151          352      1.04%    100.00% # Bytes accessed per row activation (Byte)
system.mem_ctrls0.dram.bytesPerActivate::total        33752                       # Bytes accessed per row activation (Byte)
system.mem_ctrls0.dram.bytesRead              5287680                       # Total bytes read (Byte)
system.mem_ctrls0.dram.bytesWritten           1731520                       # Total bytes written (Byte)
system.mem_ctrls0.dram.avgRdBW              82.708924                       # Average DRAM read bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrls0.dram.avgWrBW              27.084119                       # Average DRAM write bandwidth in MiBytes/s ((Byte/Second))
system.mem_ctrls0.dram.peakBW                12800.00                       # Theoretical peak bandwidth in MiByte/s ((Byte/Second))
system.mem_ctrls0.dram.busUtil                   0.86                       # Data bus utilization in percentage (Ratio)
system.mem_ctrls0.dram.busUtilRead               0.65                       # Data bus utilization in percentage for reads (Ratio)
system.mem_ctrls0.dram.busUtilWrite              0.21                       # Data bus utilization in percentage for writes (Ratio)
system.mem_ctrls0.dram.pageHitRate              69.22                       # Row buffer hit rate, read and write combined (Ratio)
system.mem_ctrls0.dram.power_state.pwrStateResidencyTicks::UNDEFINED  63931191000                       # Cumulative time (in ticks) in various power states (Tick)
system.mem_ctrls0.dram.rank0.actEnergy      152374740                       # Energy for activate commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.preEnergy       80981505                       # Energy for precharge commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.readEnergy     432484080                       # Energy for read commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.writeEnergy     83212020                       # Energy for write commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.refreshEnergy 5046194400.000001                       # Energy for refresh commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.actBackEnergy  17599032150                       # Energy for active background per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.preBackEnergy   9729339840                       # Energy for precharge background per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.selfRefreshEnergy            0                       # Energy for self refresh per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.totalEnergy  33123618735                       # Total energy per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank0.averagePower   518.113588                       # Core power per rank (mW) (Watt)
system.mem_ctrls0.dram.rank0.totalIdleTime            0                       # Total Idle time Per DRAM Rank (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::IDLE  25130678500                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::REF   2134600000                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::SREF            0                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::PRE_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::ACT  36665912500                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank0.pwrStateTime::ACT_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.actEnergy       88650240                       # Energy for activate commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.preEnergy       47107335                       # Energy for precharge commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.readEnergy     157422720                       # Energy for read commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.writeEnergy     58015080                       # Energy for write commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.refreshEnergy 5046194400.000001                       # Energy for refresh commands per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.actBackEnergy  11558012550                       # Energy for active background per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.preBackEnergy  14816514240                       # Energy for precharge background per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.actPowerDownEnergy            0                       # Energy for active power-down per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.prePowerDownEnergy            0                       # Energy for precharge power-down per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.selfRefreshEnergy            0                       # Energy for self refresh per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.totalEnergy  31771916565                       # Total energy per rank (pJ) (Joule)
system.mem_ctrls0.dram.rank1.averagePower   496.970510                       # Core power per rank (mW) (Watt)
system.mem_ctrls0.dram.rank1.totalIdleTime            0                       # Total Idle time Per DRAM Rank (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::IDLE  38407974500                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::REF   2134600000                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::SREF            0                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::PRE_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::ACT  23388616500                       # Time in different power states (Tick)
system.mem_ctrls0.dram.rank1.pwrStateTime::ACT_PDN            0                       # Time in different power states (Tick)
system.mem_ctrls0.power_state.pwrStateResidencyTicks::UNDEFINED  63931191000                       # Cumulative time (in ticks) in various power states (Tick)
system.mem_ctrls1.avgPriority_ruby.dir_cntrl1::samples    111789.00                       # Average QoS priority value for accepted requests (Count)
system.mem_ctrls1.priorityMinLatency     0.000000018750                       # per QoS priority minimum request to response latency (Second)
system.mem_ctrls1.priorityMaxLatency     0.002946167500                       # per QoS priority maximum request to response latency (Second)
system.mem_ctrls1.numReadWriteTurnArounds         1535                       # Number of turnarounds from READ to WRITE (Count)
system.mem_ctrls1.numWriteReadTurnArounds         1535                       # Number of turnarounds from WRITE to READ (Count)
system.mem_ctrls1.numStayReadState             232967                       # Number of times bus staying in READ state (Count)
system.mem_ctrls1.numStayWriteState             26037                       # Number of times bus staying in WRITE state (Count)
system.mem_ctrls1.readReqs                     112832                       # Number of read requests accepted (Count)
system.mem_ctrls1.writeReqs                     49233                       # Number of write requests accepted (Count)
system.mem_ctrls1.readBursts                   112832                       # Number of controller read bursts, including those serviced by the write queue (Count)
system.mem_ctrls1.writeBursts                   49233                       # Number of controller write bursts, including those merged in the write queue (Count)
system.mem_ctrls1.servicedByWrQ                 28620                       # Number of controller read bursts serviced by the write queue (Count)
system.mem_ctrls1.mergedWrBursts                21656                       # Number of controller write bursts merged with an existing one (Count)
system.mem_ctrls1.neitherReadNorWriteReqs            0                       # Number of requests that are neither read nor write (Count)
system.mem_ctrls1.avgRdQLen                      1.06                       # Average read queue length when enqueuing ((Count/Tick))
system.mem_ctrls1.avgWrQLen                     24.60                       # Average write queue length when enqueuing ((Count/Tick))
system.mem_ctrls1.numRdRetry                        0                       # Number of times read queue was full causing retry (Count)
system.mem_ctrls1.numWrRetry                        0                       # Number of times write queue was full causing retry (Count)
system.mem_ctrls1.readPktSize::0                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::1                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::2                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::3                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::4                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::5                    0                       # Read request sizes (log2) (Count)
system.mem_ctrls1.readPktSize::6               112832                       # Read request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::0                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::1                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::2                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::3                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::4                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::5                   0                       # Write request sizes (log2) (Count)
system.mem_ctrls1.writePktSize::6               49233                       # Write request sizes (log2) (Count)
system.mem_ctrls1.rdQLenPdf::0                  75261                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::1                   7792                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::2                    989                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::3                    145                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::4                     20                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::5                      4                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::6                      1                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::7                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::8                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::9                      0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::10                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::11                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::12                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::13                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::14                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::15                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::16                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::17                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::18                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::19                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::20                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::21                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::22                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::23                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::24                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::25                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::26                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::27                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::28                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::29                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::30                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.rdQLenPdf::31                     0                       # What read queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::0                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::1                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::2                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::3                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::4                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::5                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::6                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::7                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::8                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::9                      1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::10                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::11                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::12                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::13                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::14                     1                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::15                  1357                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::16                  1389                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::17                  1550                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::18                  1554                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::19                  1559                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::20                  1560                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::21                  1543                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::22                  1550                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::23                  1553                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::24                  1560                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::25                  1556                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::26                  1553                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::27                  1561                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::28                  1555                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::29                  1547                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::30                  1540                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::31                  1535                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::32                  1535                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::33                     5                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::34                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::35                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::36                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::37                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::38                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::39                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::40                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::41                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::42                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::43                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::44                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::45                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::46                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::47                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::48                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::49                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::50                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::51                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::52                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::53                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::54                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::55                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::56                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::57                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::58                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::59                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::60                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::61                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::62                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.wrQLenPdf::63                     0                       # What write queue length does an incoming req see (Count)
system.mem_ctrls1.rdPerTurnAround::samples         1535                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::mean     54.847557                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::stdev    44.802961                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::0-31           574     37.39%     37.39% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::32-63          443     28.86%     66.25% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::64-95          273     17.79%     84.04% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::96-127          127      8.27%     92.31% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::128-159           73      4.76%     97.07% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::160-191           33      2.15%     99.22% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::192-223            8      0.52%     99.74% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::224-255            2      0.13%     99.87% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::256-287            1      0.07%     99.93% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::544-575            1      0.07%    100.00% # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.rdPerTurnAround::total         1535                       # Reads before turning the bus around for writes (Count)
system.mem_ctrls1.wrPerTurnAround::samples         1535                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::mean     17.945928                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::gmean    17.927019                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::stdev     0.813235                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::16             164     10.68%     10.68% # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::17              11      0.72%     11.40% # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::18            1149     74.85%     86.25% # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::19             169     11.01%     97.26% # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::20              39      2.54%     99.80% # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::21               3      0.20%    100.00% # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.wrPerTurnAround::total         1535                       # Writes before turning the bus around for reads (Count)
system.mem_ctrls1.bytesReadWrQ                1831680                       # Total number of bytes read from write queue (Byte)
system.mem_ctrls1.bytesReadSys                7221248                       # Total read bytes from the system interface side (Byte)
system.mem_ctrls1.bytesWrittenSys             3150912                       # Total written bytes from the system interface side (Byte)
system.mem_ctrls1.avgRdBWSys             112953440.83297306                       # Average system read bandwidth in Byte/s ((Byte/Second))
system.mem_ctrls1.avgWrBWSys             49285989.36941437                       # Average system write bandwidth in Byte/s ((Byte/Second))
system.mem_ctrls1.totGap                  63930033000                       # Total gap between requests (Tick)
system.mem_ctrls1.avgGap                    394471.56                       # Average gap between requests ((Tick/Count))
system.mem_ctrls1.requestorReadBytes::ruby.dir_cntrl1      5389568                       # Per-requestor bytes read from memory (Byte)
system.mem_ctrls1.requestorWriteBytes::ruby.dir_cntrl1      1763008                       # Per-requestor bytes write to memory (Byte)
system.mem_ctrls1.requestorReadRate::ruby.dir_cntrl1 84302637.190037652850                       # Per-requestor bytes read from memory rate ((Byte/Second))
system.mem_ctrls1.requestorWriteRate::ruby.dir_cntrl1 27576648.775399789214                       # Per-requestor bytes write to memory rate ((Byte/Second))
system.mem_ctrls1.requestorReadAccesses::ruby.dir_cntrl1       112832                       # Per-requestor read serviced memory accesses (Count)
system.mem_ctrls1.requestorWriteAccesses::ruby.dir_cntrl1        49233                       # Per-requestor write serviced memory accesses (Count)
system.mem_ctrls1.requestorReadTotalLat::ruby.dir_cntrl1   2384256000                       # Per-requestor read total memory access latency (Tick)
system.mem_ctrls1.requestorWriteTotalLat::ruby.dir_cntrl1 1507950811750                       # Per-requestor write total memory access latency (Tick)
system.mem_ctrls1.requestorReadAvgLat::ruby.dir_cntrl1     21131.03                       # Per-requestor read average memory access latency ((Tick/Count))
system.mem_ctrls1.requestorWriteAvgLat::ruby.dir_cntrl1  30628862.99                       # Per-requestor write average memory access latency ((Tick/Count))
system.mem_ctrls1.dram.bytesRead::ruby.dir_cntrl1      7221248                       # Number of bytes read from this memory (Byte)
system.mem_ctrls1.dram.bytesRead::total       7221248                       # Number of bytes read from this memory (Byte)
system.mem_ctrls1.dram.bytesWritten::ruby.dir_cntrl1      3150912                       # Number of bytes written to this memory (Byte)
system.mem_ctrls1.dram.bytesWritten::total      3150912                       # Number of bytes written to this memory (Byte)
system.mem_ctrls1.dram.numReads::ruby.dir_cntrl1       112832                       # Number of read requests responded to by this memory (Count)
system.mem_ctrls1.dram.numReads::total         112832                       # Number of read requests responded to by this memory (Count)
system.mem_ctrls1.dram.numWrites::ruby.dir_cntrl1        49233                       # Number of write requests responded to by this memory (Count)
system.mem_ctrls1.dram.numWrites::total         49233                       # Number of write requests responded to by this memory (Count)
system.mem_ctrls1.dram.bwRead::ruby.dir_cntrl1    112953441                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwRead::total        112953441                       # Total read bandwidth from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwWrite::ruby.dir_cntrl1     49285989                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwWrite::total        49285989                       # Write bandwidth from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwTotal::ruby.dir_cntrl1    162239430                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls1.dram.bwTotal::total       162239430                       # Total bandwidth to/from this memory ((Byte/Second))
system.mem_ctrls1.dram.readBursts               84212                       # Number of DRAM read bursts (Count)
system.mem_ctrls1.dram.writeBursts              27547                       # Number of DRAM write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::0         8042                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::1        13987                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::2        14202                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::3        10485                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::4        10628                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::5         3650                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::6          292                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::7          227                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::8         3010                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::9         4491                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::10         4090                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::11         3706                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::12         4638                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::13         1393                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::14          687                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankRdBursts::15          684                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::0         1342                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::1         3310                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::2         3298                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::3         3251                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::4         2913                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::5         1041                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::6           93                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::7           27                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::8         1276                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::9         2688                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::10         2584                       # Per bank write bursts (Count)
system.mem_ctrls1.dram.perBankWrBursts::11         2279                       # Per bank write bursts (Count)
